Field,Point_ID,Aleket_cnt,ndvi_slope,gndvi_slope,green_red_ratio_slope,ndre_slope,entropy_slope,green_slope,homogeneity_slope,asm_slope
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,97.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,98.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,99.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,100.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,101.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,102.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,103.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,104.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,105.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,106.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,107.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,108.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,109.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,110.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,111.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,112.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,113.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,114.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,115.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,116.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,117.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,118.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,119.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,120.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,121.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,122.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,123.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,124.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,125.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,126.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,127.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,128.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,129.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,130.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,131.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,132.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,133.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,134.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,135.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,136.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,137.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,138.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,139.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,140.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,141.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,142.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,143.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,144.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,145.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,146.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,147.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,148.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,149.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,150.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,151.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,152.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,153.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,154.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,155.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,156.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,157.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,158.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,159.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,160.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,161.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,162.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,163.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,164.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,165.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,166.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,167.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,168.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,169.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,170.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,171.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,172.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,173.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,174.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,175.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,176.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,177.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,178.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,179.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,180.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,181.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,182.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,1.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,2.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,3.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,4.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,5.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,6.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,7.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,8.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,9.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,10.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,11.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,12.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,13.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,14.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,15.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,16.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,17.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,18.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,19.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,20.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,21.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,22.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,23.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,24.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,25.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,26.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,27.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,28.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,29.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,30.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,31.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,32.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,33.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,34.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,35.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,36.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,37.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,38.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,39.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,40.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,41.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,42.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,45.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,46.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,47.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,48.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,49.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,50.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,51.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,52.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,53.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,54.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,55.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,56.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,57.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,58.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,59.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,60.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,61.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,62.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,63.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,64.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,65.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,66.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,67.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,68.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,69.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,70.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,71.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,72.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,73.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,74.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,75.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,76.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,77.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,78.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,79.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,80.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,81.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,82.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,83.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,84.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,85.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,86.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,87.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,88.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,89.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,90.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,91.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,92.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,93.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,94.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,95.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,96.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,97.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,98.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,99.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,100.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,101.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,102.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,103.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,104.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,105.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,106.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,107.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,108.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,109.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,110.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,111.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,112.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,113.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,114.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,115.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,116.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,117.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,118.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,119.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,120.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,121.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,122.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,123.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,124.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,125.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,126.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,127.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,128.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,129.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — Geva_13_2012,130.0,2.0,,,,,,,,
