_ID,_NAME,_REMARKS,_REC_TIME,_LATITUDE,_LONGITUDE,_ELEVATION,_ORTHO_HT,_FIX_ID,_H_ACC,_V_ACC,_SPEED,_BEARING,Aleket_cnt,remarks
44,,,08/02/2025 17:43:23.000 GMT+03:00,33.139101065,35.603310657,92.25,0.0,5.0,0.01,0.01,0.004,104.544,0,
45,,,08/02/2025 17:43:49.000 GMT+03:00,33.138908075,35.603298728,92.192,0.0,5.0,0.01,0.01,0.016,92.543,0,
46,,,08/02/2025 17:44:24.000 GMT+03:00,33.13866311,35.603275047,92.623,0.0,5.0,0.017,0.018,0.787,18.65,0,
47,,,08/02/2025 17:44:45.000 GMT+03:00,33.138581163,35.603280792,92.678,0.0,5.0,0.032,0.07,0.013,112.226,0,end 3
48,,,08/02/2025 17:46:15.000 GMT+03:00,33.138597765,35.60290721,92.164,0.0,4.0,0.01,0.01,0.006,69.259,0,start 4
49,,,08/02/2025 17:47:02.000 GMT+03:00,33.138834982,35.602923243,92.096,0.0,5.0,0.01,0.01,0.006,48.118,0,
50,,,08/02/2025 17:48:19.000 GMT+03:00,33.139036682,35.602934995,92.196,0.0,5.0,0.01,0.01,0.021,44.219,0,
51,,,08/02/2025 17:48:45.000 GMT+03:00,33.139241355,35.6029517,92.542,0.0,5.0,0.17,0.26,0.01,55.835,0,
52,,,08/02/2025 17:49:09.000 GMT+03:00,33.139453945,35.602959962,92.642,0.0,5.0,0.15,0.25,0.015,42.338,0,
53,,,08/02/2025 17:49:31.000 GMT+03:00,33.139661677,35.602973688,92.435,0.0,5.0,0.21,0.32,0.152,63.974,0,
54,,,08/02/2025 17:49:55.000 GMT+03:00,33.139872935,35.602986725,93.022,0.0,5.0,0.24,0.34,0.076,66.042,0,
55,,,08/02/2025 17:50:21.000 GMT+03:00,33.140085903,35.60299451,93.254,0.0,5.0,0.29,0.31,0.022,45.394,0,
56,,,08/02/2025 17:50:43.000 GMT+03:00,33.14028589,35.603002758,93.194,0.0,5.0,0.41,0.63,0.207,56.482,0,
57,,,08/02/2025 17:51:06.000 GMT+03:00,33.140491797,35.603008717,93.995,0.0,5.0,0.22,0.35,0.083,43.98,0,
58,,,08/02/2025 17:51:30.000 GMT+03:00,33.140701823,35.603020035,94.227,0.0,5.0,0.22,0.33,0.034,65.171,0,
59,,,08/02/2025 17:51:53.000 GMT+03:00,33.1409083,35.603032117,94.263,0.0,5.0,0.18,0.26,0.029,54.166,0,
60,,,08/02/2025 17:52:17.000 GMT+03:00,33.141111607,35.60304688,94.066,0.0,5.0,0.15,0.22,0.021,65.791,0,
61,,,08/02/2025 17:52:39.000 GMT+03:00,33.141313127,35.60306078,93.653,0.0,5.0,0.13,0.2,0.095,54.557,0,
62,,,08/02/2025 17:53:00.000 GMT+03:00,33.14139051,35.603068565,94.998,0.0,5.0,0.14,0.18,0.018,93.364,0,end 4
63,,,08/02/2025 17:53:52.000 GMT+03:00,33.141412005,35.602701403,93.03,0.0,4.0,0.01,0.01,0.01,89.339,0,start 5
64,,,08/02/2025 17:55:00.000 GMT+03:00,33.141203282,35.602691407,92.887,0.0,4.0,0.01,0.01,0.013,108.144,0,
65,,,08/02/2025 17:55:25.000 GMT+03:00,33.140982287,35.602679077,92.771,0.0,4.0,0.01,0.011,0.029,95.94,0,
66,,,08/02/2025 17:55:49.000 GMT+03:00,33.140769327,35.602664842,92.744,0.0,5.0,0.013,0.017,0.014,112.148,0,
67,,,08/02/2025 17:56:24.000 GMT+03:00,33.140495052,35.602649287,92.809,0.0,4.0,0.13,0.13,0.025,80.486,0,
68,,,08/02/2025 17:56:47.000 GMT+03:00,33.140286277,35.602638978,92.806,0.0,5.0,0.12,0.17,0.132,113.403,0,
69,,,08/02/2025 17:57:21.000 GMT+03:00,33.140064585,35.602629978,92.873,0.0,5.0,0.22,0.3,0.086,106.401,0,
70,,,08/02/2025 17:57:54.000 GMT+03:00,33.139848443,35.60261067,92.645,0.0,4.0,0.14,0.22,0.028,100.949,0,
71,,,08/02/2025 17:58:31.000 GMT+03:00,33.139635075,35.602597178,92.532,0.0,4.0,0.01,0.01,0.011,92.169,0,
72,,,08/02/2025 17:58:55.000 GMT+03:00,33.139425498,35.602584823,92.418,0.0,4.0,0.01,0.01,0.027,102.682,0,
73,,,08/02/2025 17:59:19.000 GMT+03:00,33.139213838,35.602572743,92.296,0.0,4.0,0.01,0.01,0.032,110.422,0,
74,,,08/02/2025 17:59:44.000 GMT+03:00,33.139007128,35.602560708,92.177,0.0,5.0,0.011,0.015,0.014,104.456,0,
75,,,08/02/2025 18:00:09.000 GMT+03:00,33.138810023,35.602547602,92.124,0.0,4.0,0.01,0.01,0.012,102.377,0,
76,,,08/02/2025 18:00:40.000 GMT+03:00,33.138615217,35.602534878,92.151,0.0,4.0,0.01,0.01,0.011,112.354,0,end 5
77,,,08/02/2025 18:01:52.000 GMT+03:00,33.138627787,35.602157915,92.109,0.0,4.0,0.01,0.01,0.002,65.934,0,start 6
78,,,08/02/2025 18:02:45.000 GMT+03:00,33.138887292,35.602182118,92.887,0.0,5.0,0.36,0.46,0.033,83.504,0,
79,,,08/02/2025 18:03:15.000 GMT+03:00,33.139158382,35.602200713,93.572,0.0,5.0,0.27,0.39,0.014,73.666,0,
80,,,08/02/2025 18:03:36.000 GMT+03:00,33.139360385,35.602217213,94.257,0.0,5.0,0.42,0.61,0.121,62.848,0,
81,,,08/02/2025 18:04:01.000 GMT+03:00,33.139586797,35.602228003,94.752,0.0,5.0,0.33,0.52,0.006,70.4,0,
82,,,08/02/2025 18:04:24.000 GMT+03:00,33.139810333,35.602237327,94.5,0.0,5.0,0.53,0.53,0.013,85.074,0,
83,,,08/02/2025 18:04:46.000 GMT+03:00,33.139996715,35.60226631,93.691,0.0,5.0,0.66,0.77,0.304,78.26,0,
84,,,08/02/2025 18:05:11.000 GMT+03:00,33.14019521,35.602263182,92.283,0.0,5.0,0.22,0.29,0.028,59.742,0,
85,,,08/02/2025 18:05:35.000 GMT+03:00,33.140404598,35.602272378,92.165,0.0,5.0,0.19,0.27,0.058,76.778,0,
86,,,08/02/2025 18:05:56.000 GMT+03:00,33.140615925,35.602280335,92.136,0.0,5.0,0.5,0.42,0.247,82.581,0,
87,,,08/02/2025 18:06:20.000 GMT+03:00,33.140818843,35.602289105,92.125,0.0,5.0,0.17,0.27,0.014,88.955,0,
88,,,08/02/2025 18:06:44.000 GMT+03:00,33.141022235,35.602301605,92.696,0.0,5.0,0.15,0.21,0.017,64.411,0,
89,,,08/02/2025 18:07:09.000 GMT+03:00,33.141244192,35.602314183,92.531,0.0,5.0,0.12,0.18,0.009,53.588,0,
90,,,08/02/2025 18:07:36.000 GMT+03:00,33.141433223,35.602326745,93.052,0.0,5.0,0.12,0.2,0.003,64.891,0,end 6
91,,,08/02/2025 18:09:03.000 GMT+03:00,33.14145075,35.601956577,91.2,0.0,5.0,0.3,0.53,0.005,110.042,0,start 7
92,,,08/02/2025 18:09:39.000 GMT+03:00,33.141242393,35.601946688,92.697,0.0,4.0,0.01,0.01,0.03,103.488,0,
93,,,08/02/2025 18:10:02.000 GMT+03:00,33.14103524,35.601935268,92.592,0.0,4.0,0.01,0.01,0.028,92.998,0,
94,,,08/02/2025 18:10:25.000 GMT+03:00,33.140825837,35.601921853,92.57,0.0,4.0,0.01,0.011,0.53,114.747,0,
95,,,08/02/2025 18:11:01.000 GMT+03:00,33.140610482,35.601909215,92.633,0.0,4.0,0.01,0.01,0.049,110.258,0,
96,,,08/02/2025 18:11:31.000 GMT+03:00,33.140401507,35.601895982,92.636,0.0,4.0,0.01,0.01,0.002,96.673,1,עלקת אחת
97,,,08/02/2025 18:11:59.000 GMT+03:00,33.14020589,35.601884077,92.607,0.0,4.0,0.01,0.01,0.014,92.06,0,
98,,,08/02/2025 18:12:21.000 GMT+03:00,33.14000206,35.601872723,92.691,0.0,4.0,0.01,0.01,0.027,99.793,0,
99,,,08/02/2025 18:12:45.000 GMT+03:00,33.139791972,35.601860572,92.642,0.0,4.0,0.01,0.01,0.01,99.718,0,
100,,,08/02/2025 18:13:08.000 GMT+03:00,33.139583615,35.601845982,92.491,0.0,4.0,0.011,0.013,0.033,92.998,0,
101,,,08/02/2025 18:13:32.000 GMT+03:00,33.139379935,35.601834952,92.627,0.0,5.0,0.13,0.21,0.054,93.308,0,
102,,,08/02/2025 18:13:55.000 GMT+03:00,33.13918549,35.601823747,92.169,0.0,5.0,0.18,0.27,0.025,97.629,0,
103,,,08/02/2025 18:14:21.000 GMT+03:00,33.138985528,35.601811522,92.188,0.0,4.0,0.01,0.01,0.006,109.183,0,
104,,,08/02/2025 18:14:46.000 GMT+03:00,33.138775373,35.601799308,92.098,0.0,4.0,0.21,0.29,0.016,106.92,0,
105,,,08/02/2025 18:15:07.000 GMT+03:00,33.138647572,35.60179156,92.188,0.0,4.0,0.01,0.01,0.002,107.309,0,r
106,,,08/02/2025 18:16:36.000 GMT+03:00,33.138667807,35.601407053,92.886,0.0,4.0,0.01,0.01,0.019,53.768,0,start 8
107,,,08/02/2025 18:17:01.000 GMT+03:00,33.13886883,35.601419228,92.582,0.0,5.0,0.22,0.39,0.208,53.722,0,
108,,,08/02/2025 18:17:27.000 GMT+03:00,33.139074902,35.601434497,92.34,0.0,5.0,0.26,0.39,0.013,63.4,0,
109,,,08/02/2025 18:17:57.000 GMT+03:00,33.139263995,35.601447725,92.372,0.0,5.0,0.27,0.34,0.089,54.567,0,
110,,,08/02/2025 18:18:21.000 GMT+03:00,33.139466282,35.601456147,92.57,0.0,5.0,0.27,0.43,0.018,57.403,0,
111,,,08/02/2025 18:18:54.000 GMT+03:00,33.139682903,35.601474367,92.611,0.0,5.0,0.17,0.29,0.051,56.725,0,
112,,,08/02/2025 18:19:19.000 GMT+03:00,33.139896577,35.601488797,92.358,0.0,4.0,0.01,0.01,0.004,57.751,0,
113,,,08/02/2025 18:19:41.000 GMT+03:00,33.140105433,35.60150685,92.334,0.0,4.0,0.01,0.01,0.035,72.549,0,
114,,,08/02/2025 18:20:03.000 GMT+03:00,33.140302,35.601519018,92.31,0.0,5.0,0.21,0.17,0.026,64.261,0,
115,,,08/02/2025 18:20:29.000 GMT+03:00,33.140519643,35.6015303,92.478,0.0,5.0,0.31,0.25,0.021,51.362,0,
116,,,08/02/2025 18:20:51.000 GMT+03:00,33.140717898,35.601546062,92.242,0.0,5.0,0.59,0.63,0.041,53.362,0,
117,,,08/02/2025 18:21:15.000 GMT+03:00,33.140930147,35.601562102,92.669,0.0,5.0,0.33,0.4,0.042,48.357,0,
118,,,08/02/2025 18:21:35.000 GMT+03:00,33.141096252,35.60156632,92.403,0.0,5.0,0.45,0.45,0.17,58.086,0,
119,,,08/02/2025 18:21:59.000 GMT+03:00,33.141307538,35.601582055,92.975,0.0,5.0,0.26,0.32,0.032,40.272,0,
120,,,08/02/2025 18:22:24.000 GMT+03:00,33.141473253,35.601592685,93.619,0.0,5.0,0.22,0.27,0.019,49.762,0,end 8
121,,,08/02/2025 18:23:38.000 GMT+03:00,33.141476053,35.601205358,92.738,0.0,5.0,0.16,0.25,0.011,111.202,0,start 9
122,,,08/02/2025 18:24:02.000 GMT+03:00,33.141265283,35.601192873,91.256,0.0,5.0,0.13,0.15,0.027,105.257,0,
123,,,08/02/2025 18:24:23.000 GMT+03:00,33.141060453,35.601175985,91.804,0.0,5.0,0.19,0.22,0.28,103.364,0,
124,,,08/02/2025 18:24:47.000 GMT+03:00,33.140853317,35.601165188,92.418,0.0,5.0,0.086,0.12,0.021,92.528,0,
125,,,08/02/2025 18:25:09.000 GMT+03:00,33.140644383,35.601151265,92.413,0.0,5.0,0.1,0.17,0.034,108.158,0,
126,,,08/02/2025 18:25:56.000 GMT+03:00,33.140442832,35.601149153,92.188,0.0,4.0,0.01,0.01,0.15,117.586,0,
127,,,08/02/2025 18:26:44.000 GMT+03:00,33.140229845,35.601136568,92.199,0.0,4.0,0.01,0.01,0.024,97.46,0,
128,,,08/02/2025 18:27:09.000 GMT+03:00,33.140024335,35.601123753,92.192,0.0,4.0,0.01,0.01,0.035,93.633,0,
129,,,08/02/2025 18:27:33.000 GMT+03:00,33.139818435,35.601111035,92.212,0.0,4.0,0.01,0.017,0.013,96.906,0,
130,,,08/02/2025 18:27:57.000 GMT+03:00,33.139614337,35.601098623,92.159,0.0,4.0,0.01,0.012,0.04,84.485,0,
131,,,08/02/2025 18:28:21.000 GMT+03:00,33.139420042,35.601088313,92.236,0.0,4.0,0.01,0.01,0.02,95.109,0,
132,,,08/02/2025 18:28:46.000 GMT+03:00,33.139215988,35.601075682,92.154,0.0,4.0,0.01,0.01,0.009,89.003,0,
133,,,08/02/2025 18:29:10.000 GMT+03:00,33.139019293,35.601063452,92.145,0.0,4.0,0.01,0.01,0.015,92.756,0,
134,,,08/02/2025 18:29:33.000 GMT+03:00,33.138819787,35.601052053,92.117,0.0,4.0,0.01,0.01,0.416,102.332,0,
135,,,08/02/2025 18:30:07.000 GMT+03:00,33.138685703,35.601043738,92.115,0.0,4.0,0.01,0.01,0.012,100.567,0,end 9
136,,,08/02/2025 18:31:30.000 GMT+03:00,33.138696937,35.600672637,92.27,0.0,4.0,0.01,0.011,0.031,38.802,0,start 10
137,,,08/02/2025 18:32:00.000 GMT+03:00,33.13891635,35.60068634,92.249,0.0,5.0,0.01,0.01,0.022,47.265,0,
138,,,08/02/2025 18:32:41.000 GMT+03:00,33.139121617,35.600699377,92.514,0.0,5.0,0.14,0.082,0.177,46.137,0,
139,,,08/02/2025 18:33:07.000 GMT+03:00,33.1393337,35.600712562,92.184,0.0,4.0,0.01,0.01,0.047,50.794,0,
140,,,08/02/2025 18:33:30.000 GMT+03:00,33.139534923,35.600723458,92.157,0.0,5.0,0.044,0.04,0.067,52.987,0,
141,,,08/02/2025 18:33:53.000 GMT+03:00,33.139738737,35.600736808,92.204,0.0,4.0,0.011,0.014,0.039,56.559,0,
142,,,08/02/2025 18:34:16.000 GMT+03:00,33.139948875,35.600750173,92.259,0.0,4.0,0.01,0.01,0.067,67.108,0,
143,,,08/02/2025 18:34:53.000 GMT+03:00,33.140144637,35.600762023,92.405,0.0,4.0,0.01,0.015,0.015,57.659,1,עלקת אחת
144,,,08/02/2025 18:35:18.000 GMT+03:00,33.140341158,35.600774185,92.289,0.0,4.0,0.01,0.01,0.071,49.679,0,
145,,,08/02/2025 18:35:53.000 GMT+03:00,33.140545973,35.600785708,92.426,0.0,4.0,0.01,0.013,0.013,54.669,1,4 עלקות
146,,,08/02/2025 18:36:19.000 GMT+03:00,33.140749102,35.600797853,92.366,0.0,4.0,0.01,0.01,0.02,51.367,0,
147,,,08/02/2025 18:36:43.000 GMT+03:00,33.140955428,35.600813163,92.099,0.0,5.0,0.17,0.25,0.009,50.917,0,
148,,,08/02/2025 18:37:09.000 GMT+03:00,33.141156333,35.600825512,91.741,0.0,4.0,0.01,0.01,0.199,42.519,0,
149,,,08/02/2025 18:37:36.000 GMT+03:00,33.141373655,35.600838453,91.84,0.0,5.0,0.027,0.027,0.007,51.685,0,
150,,,08/02/2025 18:38:03.000 GMT+03:00,33.141495348,35.600846943,92.067,0.0,5.0,0.027,0.034,0.013,64.562,0,end 10
151,,,08/02/2025 18:40:19.000 GMT+03:00,33.141495,35.600518333,82.3,0.0,1.0,1.5,2.0,0.0,106.808,0,start 11
152,,,08/02/2025 18:41:04.000 GMT+03:00,33.141263333,35.600531667,85.9,0.0,1.0,2.0,3.0,0.051,95.144,0,
153,,,08/02/2025 18:41:28.000 GMT+03:00,33.141045,35.600531667,84.8,0.0,1.0,2.0,3.0,0.154,98.122,0,
154,,,08/02/2025 18:41:50.000 GMT+03:00,33.140848333,35.6005,84.7,0.0,1.0,2.0,3.0,0.566,102.403,0,
155,,,08/02/2025 18:42:15.000 GMT+03:00,33.140648333,35.600471667,84.5,0.0,1.0,2.0,2.0,0.412,86.019,0,
156,,,08/02/2025 18:42:49.000 GMT+03:00,33.140461667,35.600471667,81.7,0.0,1.0,2.0,3.0,0.0,82.992,1,עלקת אחת
157,,,08/02/2025 18:43:14.000 GMT+03:00,33.140243333,35.600458333,83.0,0.0,1.0,2.0,3.0,0.206,95.025,0,
158,,,08/02/2025 18:43:36.000 GMT+03:00,33.140033333,35.600441667,84.2,0.0,1.0,2.5,3.0,0.926,100.238,0,
159,,,08/02/2025 18:44:01.000 GMT+03:00,33.139836667,35.600428333,84.4,0.0,1.0,2.0,3.0,0.051,94.505,0,
160,,,08/02/2025 18:44:25.000 GMT+03:00,33.139625,35.600426667,86.5,0.0,1.0,2.0,3.0,0.72,93.755,0,
161,,,08/02/2025 18:44:50.000 GMT+03:00,33.13943,35.60041,85.3,0.0,1.0,2.0,3.0,0.154,97.734,0,
162,,,08/02/2025 18:45:14.000 GMT+03:00,33.139238333,35.600401667,84.6,0.0,1.0,2.0,3.0,0.0,92.468,0,
163,,,08/02/2025 18:45:38.000 GMT+03:00,33.139026667,35.60037,84.3,0.0,1.0,2.0,3.0,0.309,98.948,0,
164,,,08/02/2025 18:46:11.000 GMT+03:00,33.138808333,35.600365,85.0,0.0,1.0,1.5,3.0,0.0,88.987,1,עלקת אחת
165,,,08/02/2025 18:47:41.000 GMT+03:00,33.138731667,35.600373333,88.9,0.0,1.0,10.0,11.0,0.0,105.623,0,end 11
166,,,08/02/2025 18:50:19.964 GMT+03:00,33.13879,35.60005,89.2,0.0,1.0,15.5,20.0,0.0,65.219,0,start 12
167,,,08/02/2025 18:50:49.000 GMT+03:00,33.13895,35.600066667,90.9,0.0,1.0,9.0,11.0,0.0,4.694,0,
168,,,08/02/2025 18:51:15.663 GMT+03:00,33.138951667,35.600091667,89.1,0.0,1.0,8.5,12.0,0.0,26.783,0,
169,,,08/02/2025 18:51:41.663 GMT+03:00,33.139041667,35.600088333,90.9,0.0,1.0,8.0,10.0,0.0,57.176,0,
170,,,08/02/2025 18:52:06.653 GMT+03:00,33.138966667,35.600098333,91.4,0.0,1.0,6.5,10.0,0.0,68.294,1,עלקת אחת
171,,,08/02/2025 18:52:40.657 GMT+03:00,33.139048333,35.600093333,87.5,0.0,1.0,8.5,10.0,0.0,59.734,0,
172,,,08/02/2025 18:53:05.657 GMT+03:00,33.139118333,35.60011,90.3,0.0,1.0,10.0,11.0,0.0,58.499,0,
173,,,08/02/2025 18:53:29.664 GMT+03:00,33.139191667,35.600105,88.5,0.0,1.0,7.5,12.0,0.0,355.713,0,
174,,,08/02/2025 18:53:53.761 GMT+03:00,33.139303333,35.600111667,90.4,0.0,1.0,8.0,11.0,0.0,237.985,0,
175,,,08/02/2025 18:54:25.000 GMT+03:00,33.140595,35.600145,83.3,0.0,1.0,1.5,3.0,0.051,70.032,0,
176,,,08/02/2025 18:54:50.000 GMT+03:00,33.140833333,35.60017,84.7,0.0,1.0,1.5,2.0,0.772,44.774,0,
177,,,08/02/2025 18:55:14.000 GMT+03:00,33.141023333,35.600176667,84.3,0.0,1.0,1.5,2.0,0.669,63.884,0,
178,,,08/02/2025 18:55:38.000 GMT+03:00,33.141205,35.600185,85.0,0.0,1.0,2.0,3.0,0.051,45.787,0,
179,,,08/02/2025 18:56:01.000 GMT+03:00,33.141415,35.600195,87.2,0.0,1.0,1.5,3.0,0.514,40.969,0,
180,,,08/02/2025 18:56:28.000 GMT+03:00,33.141525,35.600213333,85.2,0.0,1.0,1.5,2.0,0.0,57.457,0,end 12
