Od,Aleket_cnt,Commends,layer,path
88.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
89.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
90.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
91.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
92.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
93.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
94.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
95.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
96.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
97.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
98.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
99.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
100.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
101.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
102.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
103.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
104.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
105.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
106.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
107.0,1,Include water lines,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
108.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
109.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
110.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
111.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
112.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
113.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
114.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
115.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
116.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
117.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
118.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
119.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
120.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
121.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
122.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
123.0,2,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
124.0,3,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
125.0,3,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
126.0,2,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
127.0,2,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
128.0,2,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
129.0,2,Allmust 1,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
130.0,2,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
131.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
132.0,2,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
133.0,2,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
134.0,1,Allmust 2,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
135.0,1,Allmust 2,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
136.0,1,Meshubash tiltan,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
137.0,1,Allmust 2,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
138.0,2,Meshubash tiltan,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
139.0,2,Allmust 1,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
140.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
141.0,2,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
142.0,1,Include water lines,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
143.0,1,Allmust 0,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
144.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
145.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
146.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
147.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
148.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
149.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
150.0,2,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
151.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
152.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
153.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
154.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
155.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
156.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
157.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
158.0,0,Karachat east side,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
159.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
160.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
161.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
162.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
163.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
164.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
165.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
166.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
167.0,1,Include water lines,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
168.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
169.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
170.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
171.0,1,Meshubash tiltan,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
172.0,1,Meshubash tiltan,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
173.0,1,Meshubash tiltan,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
174.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
175.0,1,Meshubash tiltan,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
176.0,1,Meshubash tiltan,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
177.0,2,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
178.0,2,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
179.0,2,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
