ObjectID,Speed,Heading,Elevation,Attrib_1
66.0,0.203,347.0,37.6,2.0
67.0,0.203,317.0,38.0,3.0
68.0,0.148,338.0,38.5,2.0
69.0,0.148,344.0,38.8,2.0
70.0,0.185,344.0,39.3,3.0
71.0,0.166,328.0,39.7,2.0
72.0,0.037,39.0,40.3,2.0
73.0,2.259,168.0,40.9,3.0
74.0,4.296,165.0,40.2,3.0
75.0,4.296,162.0,39.7,3.0
76.0,0.129,179.0,39.4,3.0
77.0,0.407,153.0,39.1,3.0
78.0,3.389,170.0,38.6,3.0
79.0,5.352,175.0,38.2,3.0
80.0,1.463,154.0,37.9,3.0
81.0,0.592,153.0,37.5,3.0
82.0,0.648,162.0,37.1,3.0
83.0,0.314,202.0,36.7,3.0
84.0,0.407,145.0,36.3,2.0
85.0,0.407,153.0,35.6,2.0
86.0,0.351,183.0,35.1,2.0
87.0,0.462,160.0,34.6,3.0
88.0,0.166,171.0,34.1,3.0
89.0,0.24,187.0,33.4,3.0
90.0,0.111,24.0,32.8,3.0
91.0,0.351,172.0,32.2,2.0
92.0,0.037,312.0,31.5,2.0
93.0,0.166,161.0,30.9,2.0
94.0,0.462,182.0,30.4,2.0
95.0,0.111,171.0,29.9,2.0
96.0,0.314,150.0,29.3,1.0
97.0,0.314,168.0,28.9,1.0
98.0,0.055,162.0,28.6,1.0
99.0,0.129,223.0,28.1,2.0
100.0,0.203,184.0,28.0,2.0
101.0,0.425,123.0,27.7,2.0
102.0,3.518,173.0,27.3,2.0
103.0,0.148,294.0,27.2,2.0
104.0,1.018,204.0,26.9,3.0
105.0,0.796,181.0,26.5,3.0
106.0,0.018,351.0,26.3,2.0
107.0,0.074,201.0,26.4,2.0
108.0,0.203,163.0,26.0,3.0
109.0,0.222,163.0,25.8,3.0
110.0,0.333,182.0,25.6,3.0
111.0,0.425,184.0,25.2,2.0
112.0,0.5,174.0,24.8,1.0
113.0,0.351,157.0,24.6,1.0
114.0,3.074,167.0,24.4,1.0
115.0,0.166,174.0,24.2,2.0
116.0,0.314,168.0,24.1,2.0
117.0,1.092,347.0,23.4,2.0
118.0,1.092,250.0,23.2,2.0
119.0,0.166,147.0,23.2,2.0
120.0,0.129,139.0,23.0,2.0
121.0,0.166,139.0,22.9,0.0
122.0,0.537,178.0,22.8,3.0
123.0,0.703,166.0,22.7,2.0
124.0,1.537,174.0,22.6,3.0
125.0,3.129,176.0,22.5,3.0
126.0,0.574,163.0,22.4,3.0
127.0,2.926,170.0,22.3,3.0
128.0,4.889,169.0,22.3,3.0
129.0,0.166,148.0,22.3,1.0
130.0,0.037,160.0,22.0,1.0
131.0,0.24,152.0,22.1,3.0
132.0,0.222,154.0,22.1,3.0
133.0,0.555,168.0,22.0,3.0
134.0,4.518,169.0,22.0,3.0
135.0,3.111,168.0,22.0,3.0
136.0,0.148,163.0,22.1,3.0
137.0,3.481,161.0,22.0,3.0
138.0,3.148,165.0,21.9,3.0
139.0,4.518,162.0,21.9,3.0
140.0,0.574,177.0,21.8,3.0
141.0,5.315,160.0,21.6,3.0
142.0,3.463,171.0,21.9,3.0
143.0,0.148,167.0,22.0,3.0
144.0,0.111,164.0,21.9,3.0
145.0,1.722,147.0,21.9,3.0
146.0,1.629,177.0,21.8,3.0
147.0,0.537,298.0,21.6,2.0
148.0,0.111,282.0,22.8,1.0
149.0,0.148,317.0,22.8,2.0
150.0,0.388,343.0,22.8,2.0
151.0,0.259,357.0,22.8,2.0
152.0,0.092,327.0,22.8,3.0
153.0,4.537,339.0,22.8,3.0
154.0,4.629,349.0,22.7,3.0
155.0,3.222,332.0,22.7,3.0
156.0,2.389,334.0,22.9,3.0
157.0,2.722,343.0,23.0,3.0
158.0,4.889,341.0,22.8,3.0
159.0,1.129,24.0,22.8,3.0
160.0,0.055,357.0,22.8,3.0
161.0,0.537,350.0,22.8,2.0
162.0,3.741,341.0,22.8,2.0
163.0,3.092,340.0,22.8,2.0
164.0,0.018,336.0,22.7,3.0
165.0,0.314,349.0,22.9,3.0
166.0,4.296,358.0,22.8,3.0
167.0,0.185,338.0,22.9,2.0
168.0,0.203,3.0,23.1,3.0
169.0,3.796,337.0,23.0,3.0
170.0,5.0,340.0,23.1,3.0
171.0,4.389,345.0,23.1,3.0
172.0,5.204,1.0,23.3,3.0
173.0,4.241,336.0,23.4,3.0
174.0,4.315,336.0,23.6,3.0
175.0,3.87,351.0,23.7,3.0
176.0,3.907,354.0,23.7,3.0
177.0,5.722,341.0,23.9,3.0
178.0,3.889,342.0,24.1,3.0
179.0,4.0,359.0,24.2,3.0
180.0,5.463,354.0,24.4,3.0
181.0,4.704,351.0,24.8,3.0
182.0,0.259,349.0,25.1,2.0
183.0,0.537,339.0,25.2,1.0
184.0,5.685,356.0,25.5,1.0
185.0,1.203,14.0,25.6,2.0
186.0,0.185,346.0,25.8,2.0
187.0,0.092,338.0,26.1,3.0
188.0,0.185,336.0,26.5,3.0
189.0,0.074,27.0,26.7,2.0
190.0,0.814,347.0,27.0,2.0
191.0,0.74,346.0,27.3,3.0
192.0,1.388,340.0,27.6,2.0
193.0,0.37,337.0,27.7,2.0
194.0,3.944,342.0,28.0,3.0
195.0,0.222,13.0,28.2,3.0
196.0,1.629,336.0,28.7,2.0
197.0,0.203,340.0,28.9,2.0
198.0,0.87,354.0,29.2,2.0
199.0,0.24,352.0,29.5,3.0
200.0,0.481,352.0,30.0,3.0
201.0,0.203,340.0,30.4,2.0
202.0,0.37,342.0,31.0,2.0
203.0,1.907,319.0,31.3,2.0
204.0,0.203,347.0,32.0,1.0
205.0,0.481,346.0,32.7,2.0
206.0,4.852,342.0,33.3,2.0
207.0,1.055,341.0,34.0,2.0
208.0,0.444,15.0,34.6,2.0
209.0,3.759,3.0,35.1,2.0
210.0,0.611,357.0,36.0,2.0
211.0,0.259,316.0,36.5,2.0
212.0,0.518,357.0,37.1,2.0
213.0,4.129,346.0,37.5,3.0
214.0,1.24,318.0,38.1,3.0
215.0,2.777,0.0,38.6,3.0
216.0,0.814,346.0,39.1,3.0
217.0,3.963,354.0,39.4,3.0
218.0,4.963,358.0,39.9,3.0
219.0,3.055,332.0,40.3,3.0
220.0,4.444,338.0,40.8,3.0
221.0,3.981,347.0,41.1,3.0
222.0,0.111,2.0,41.4,3.0
223.0,2.24,325.0,42.2,3.0
224.0,0.462,37.0,42.6,3.0
225.0,0.685,260.0,43.1,2.0
226.0,0.037,169.0,42.7,3.0
227.0,0.37,166.0,42.0,3.0
228.0,3.352,161.0,41.4,3.0
229.0,5.204,172.0,40.9,3.0
230.0,3.815,168.0,40.4,3.0
231.0,0.444,169.0,40.0,2.0
232.0,1.426,204.0,39.5,3.0
233.0,5.907,167.0,38.8,3.0
234.0,0.074,167.0,38.7,2.0
235.0,0.944,169.0,38.0,2.0
236.0,5.111,159.0,37.5,2.0
237.0,5.315,166.0,37.0,3.0
238.0,5.333,171.0,36.2,3.0
239.0,0.537,176.0,35.5,3.0
240.0,0.5,170.0,34.8,3.0
241.0,5.463,160.0,34.0,3.0
242.0,3.963,174.0,33.3,3.0
243.0,5.611,165.0,32.7,3.0
244.0,5.0,170.0,32.1,2.0
245.0,0.185,184.0,31.8,2.0
246.0,0.203,165.0,31.0,3.0
247.0,0.518,171.0,30.7,3.0
248.0,0.129,150.0,30.4,3.0
249.0,5.611,165.0,29.8,3.0
250.0,5.037,173.0,29.3,3.0
251.0,3.648,155.0,29.1,3.0
252.0,0.111,134.0,28.7,2.0
253.0,0.37,175.0,28.3,2.0
254.0,0.092,150.0,27.9,3.0
255.0,4.018,179.0,27.7,3.0
256.0,0.574,147.0,27.3,3.0
257.0,0.314,178.0,27.0,3.0
258.0,0.092,186.0,26.8,3.0
259.0,0.277,154.0,26.4,3.0
260.0,2.426,168.0,26.2,3.0
261.0,0.425,156.0,25.7,3.0
262.0,0.333,174.0,25.3,2.0
263.0,1.018,216.0,25.0,2.0
264.0,0.092,182.0,24.6,2.0
265.0,0.111,102.0,24.4,1.0
266.0,0.129,118.0,24.1,2.0
267.0,4.815,165.0,23.9,2.0
268.0,0.111,164.0,23.7,2.0
269.0,4.018,172.0,23.5,2.0
270.0,3.037,153.0,23.3,3.0
271.0,0.203,181.0,23.0,2.0
272.0,0.185,159.0,22.9,3.0
273.0,0.092,161.0,22.7,2.0
274.0,0.24,146.0,22.3,3.0
275.0,4.944,174.0,22.3,3.0
276.0,3.833,158.0,22.0,3.0
277.0,0.592,173.0,22.0,2.0
278.0,5.704,161.0,21.8,3.0
279.0,4.37,169.0,21.7,3.0
280.0,0.166,164.0,21.6,3.0
281.0,0.092,176.0,21.5,2.0
282.0,5.944,174.0,21.4,3.0
283.0,5.204,160.0,21.3,3.0
284.0,0.277,157.0,21.4,3.0
285.0,3.278,156.0,21.3,3.0
286.0,0.481,177.0,21.2,3.0
287.0,2.611,152.0,21.1,3.0
288.0,3.333,169.0,21.2,3.0
289.0,4.926,168.0,21.4,3.0
290.0,0.129,164.0,21.3,3.0
291.0,4.074,158.0,21.2,3.0
292.0,0.296,164.0,21.1,3.0
293.0,5.259,174.0,21.0,3.0
294.0,0.555,174.0,20.9,3.0
295.0,4.926,163.0,20.9,3.0
296.0,1.426,160.0,20.7,3.0
297.0,1.222,204.0,20.6,2.0
298.0,0.296,200.0,20.5,1.0
299.0,0.185,259.0,20.4,2.0
300.0,3.278,1.0,20.4,2.0
301.0,0.314,342.0,20.6,2.0
302.0,0.111,22.0,20.7,3.0
303.0,1.185,11.0,20.8,3.0
304.0,0.5,353.0,20.9,3.0
305.0,0.203,347.0,20.9,2.0
306.0,0.148,334.0,21.1,3.0
307.0,0.5,338.0,21.0,3.0
308.0,0.444,346.0,21.0,2.0
309.0,0.648,342.0,21.3,3.0
310.0,2.981,334.0,21.2,3.0
311.0,0.24,10.0,21.2,2.0
312.0,0.24,345.0,21.2,2.0
313.0,0.963,349.0,21.3,3.0
314.0,0.481,346.0,21.4,3.0
315.0,5.055,354.0,21.2,3.0
316.0,3.203,341.0,21.4,2.0
317.0,0.129,353.0,21.6,1.0
318.0,1.944,73.0,21.6,1.0
319.0,3.685,336.0,21.6,2.0
320.0,1.574,337.0,21.9,2.0
321.0,3.666,339.0,22.2,2.0
322.0,4.426,339.0,22.6,3.0
323.0,0.425,334.0,22.9,3.0
324.0,0.629,334.0,23.0,3.0
325.0,0.407,348.0,23.2,3.0
326.0,0.925,0.0,23.4,2.0
327.0,1.0,16.0,23.5,3.0
328.0,3.592,328.0,23.7,2.0
329.0,4.704,357.0,23.9,2.0
330.0,3.481,340.0,24.1,3.0
331.0,0.351,358.0,24.3,3.0
332.0,0.333,345.0,24.4,2.0
333.0,0.203,352.0,24.6,2.0
334.0,0.611,4.0,24.9,2.0
335.0,0.592,352.0,25.2,1.0
336.0,0.259,331.0,25.4,1.0
337.0,2.426,340.0,25.7,3.0
338.0,2.222,343.0,25.8,3.0
339.0,0.111,343.0,25.9,3.0
340.0,1.666,312.0,26.5,3.0
341.0,5.018,344.0,27.2,3.0
342.0,0.24,350.0,27.8,3.0
343.0,3.981,353.0,28.7,3.0
344.0,2.648,331.0,29.5,3.0
345.0,0.5,336.0,30.7,3.0
346.0,0.981,352.0,31.5,3.0
347.0,3.24,353.0,32.9,1.0
348.0,3.907,347.0,33.6,3.0
349.0,0.5,344.0,35.1,3.0
350.0,2.129,0.0,36.7,3.0
351.0,0.0,338.0,38.4,3.0
352.0,3.389,8.0,39.8,3.0
353.0,3.648,346.0,40.9,3.0
354.0,1.24,327.0,42.2,3.0
355.0,0.259,342.0,43.1,2.0
356.0,0.148,204.0,43.7,2.0
357.0,0.462,166.0,42.0,2.0
358.0,1.963,180.0,40.6,1.0
359.0,3.5,171.0,38.7,2.0
360.0,0.277,156.0,36.9,2.0
361.0,0.333,167.0,35.4,1.0
362.0,0.148,173.0,34.4,1.0
363.0,3.537,170.0,33.4,2.0
364.0,0.074,171.0,32.299,2.0
365.0,0.277,175.0,31.0,2.0
366.0,2.24,174.0,30.0,2.0
367.0,2.666,156.0,28.8,2.0
368.0,3.129,163.0,27.9,1.0
369.0,5.0,172.0,27.3,1.0
370.0,3.0,156.0,26.6,2.0
371.0,0.37,194.0,25.9,2.0
372.0,0.574,177.0,25.2,2.0
373.0,0.37,177.0,25.0,2.0
374.0,2.148,155.0,24.5,1.0
375.0,0.148,165.0,23.8,2.0
376.0,0.481,155.0,23.5,2.0
377.0,2.352,190.0,22.8,2.0
378.0,2.259,181.0,22.1,2.0
379.0,0.037,174.0,21.8,3.0
380.0,1.037,185.0,21.0,2.0
381.0,0.111,159.0,20.8,2.0
382.0,1.629,178.0,20.3,3.0
383.0,1.111,203.0,20.2,2.0
384.0,2.611,162.0,20.0,2.0
385.0,0.148,166.0,20.0,0.0
386.0,0.055,166.0,19.9,2.0
387.0,4.778,160.0,19.9,2.0
388.0,0.222,171.0,19.8,1.0
389.0,4.444,162.0,19.5,1.0
390.0,3.537,147.0,19.2,1.0
391.0,0.166,73.0,21.0,1.0
392.0,0.129,7.0,21.3,1.0
393.0,3.092,344.0,21.2,1.0
394.0,1.426,40.0,21.3,2.0
395.0,0.166,333.0,21.5,2.0
396.0,5.352,353.0,22.0,3.0
397.0,0.518,346.0,22.5,3.0
398.0,2.537,351.0,22.5,3.0
399.0,0.351,355.0,22.9,3.0
400.0,0.851,348.0,23.7,3.0
401.0,0.074,358.0,24.5,2.0
402.0,3.5,345.0,25.1,2.0
403.0,0.277,7.0,25.4,3.0
404.0,1.055,69.0,25.8,2.0
405.0,4.352,344.0,26.4,2.0
406.0,0.148,340.0,27.0,2.0
407.0,1.037,11.0,27.6,2.0
408.0,4.833,349.0,28.3,3.0
409.0,2.74,331.0,28.9,3.0
410.0,3.778,345.0,29.7,3.0
411.0,2.333,355.0,30.6,3.0
412.0,1.055,353.0,31.5,3.0
413.0,0.166,12.0,32.9,3.0
414.0,0.222,19.0,34.1,2.0
415.0,0.203,341.0,35.5,3.0
416.0,3.074,358.0,36.6,3.0
417.0,4.741,353.0,37.5,3.0
418.0,0.388,341.0,38.5,3.0
419.0,0.407,341.0,40.1,3.0
420.0,0.074,356.0,41.2,3.0
421.0,1.74,307.0,42.6,3.0
422.0,1.907,11.0,44.9,2.0
423.0,0.129,44.0,45.0,2.0
424.0,0.074,170.0,43.6,3.0
425.0,4.037,171.0,42.3,3.0
426.0,2.389,181.0,40.7,3.0
427.0,3.926,161.0,39.4,3.0
428.0,3.796,174.0,38.4,3.0
429.0,3.111,156.0,37.6,3.0
430.0,4.352,175.0,36.5,3.0
431.0,0.425,140.0,35.5,3.0
432.0,0.963,155.0,34.0,2.0
433.0,2.611,187.0,32.4,2.0
434.0,3.426,77.0,31.3,2.0
435.0,0.388,156.0,30.5,1.0
436.0,0.092,232.0,29.7,1.0
437.0,2.944,171.0,28.9,2.0
438.0,1.666,177.0,28.5,2.0
439.0,0.37,176.0,27.8,2.0
440.0,0.611,156.0,27.1,2.0
441.0,4.444,168.0,26.5,3.0
442.0,0.703,176.0,25.7,3.0
443.0,0.481,178.0,25.3,3.0
444.0,5.111,157.0,24.8,3.0
445.0,4.648,171.0,24.3,3.0
446.0,4.407,167.0,23.6,3.0
447.0,3.296,168.0,22.8,3.0
448.0,2.981,142.0,22.0,3.0
449.0,1.851,148.0,21.4,3.0
450.0,2.852,143.0,21.0,3.0
451.0,0.722,160.0,20.8,3.0
452.0,2.24,145.0,20.5,3.0
453.0,3.389,156.0,20.3,3.0
454.0,3.537,143.0,20.1,3.0
455.0,3.963,159.0,19.9,3.0
456.0,4.796,168.0,20.0,2.0
457.0,0.296,111.0,19.7,2.0
458.0,0.518,295.0,20.1,1.0
459.0,4.148,340.0,20.3,3.0
460.0,4.278,351.0,20.5,3.0
461.0,0.185,337.0,20.8,3.0
462.0,0.185,279.0,21.0,3.0
463.0,0.111,16.0,21.5,3.0
464.0,0.796,352.0,21.7,3.0
465.0,4.278,336.0,22.2,2.0
466.0,3.278,350.0,22.8,2.0
467.0,0.407,340.0,23.6,2.0
468.0,2.685,333.0,24.4,2.0
469.0,0.388,339.0,25.2,2.0
470.0,2.037,329.0,25.9,3.0
471.0,1.481,49.0,26.5,3.0
472.0,2.111,332.0,27.0,2.0
473.0,5.167,355.0,27.5,0.0
474.0,2.963,344.0,27.6,1.0
475.0,4.0,1.0,28.4,2.0
476.0,2.111,340.0,29.1,1.0
477.0,1.87,337.0,29.7,3.0
478.0,0.166,351.0,30.4,2.0
479.0,0.518,354.0,31.1,3.0
480.0,5.092,344.0,32.0,3.0
481.0,0.407,338.0,32.8,2.0
482.0,0.462,341.0,33.9,3.0
483.0,0.111,349.0,35.2,1.0
484.0,2.926,356.0,36.8,1.0
485.0,4.037,345.0,38.2,2.0
486.0,0.907,344.0,39.5,2.0
487.0,3.278,343.0,40.6,2.0
488.0,2.37,324.0,41.3,2.0
489.0,3.778,347.0,42.2,2.0
490.0,3.018,358.0,43.6,3.0
491.0,0.981,1.0,45.0,3.0
492.0,0.462,339.0,46.0,3.0
493.0,0.222,19.0,46.8,2.0
494.0,0.074,244.0,47.9,2.0
495.0,0.907,160.0,46.9,2.0
496.0,0.13,171.0,45.5,2.0
497.0,0.333,156.0,44.3,2.0
498.0,0.556,173.0,43.4,2.0
499.0,3.371,159.0,42.1,2.0
500.0,0.222,177.0,40.7,2.0
501.0,0.37,165.0,39.2,2.0
502.0,4.5,164.0,37.7,1.0
503.0,0.093,137.0,36.2,2.0
504.0,1.537,169.0,35.2,2.0
505.0,5.186,144.0,33.7,2.0
506.0,1.315,336.0,32.8,3.0
507.0,2.482,220.0,32.0,3.0
508.0,3.871,201.0,31.2,3.0
509.0,0.056,158.0,30.5,3.0
510.0,3.63,152.0,29.8,3.0
511.0,1.815,165.0,29.0,3.0
512.0,5.297,160.0,28.3,2.0
513.0,1.185,209.0,27.6,3.0
514.0,0.519,176.0,27.0,3.0
515.0,3.556,166.0,26.5,3.0
516.0,0.222,152.0,25.8,3.0
517.0,4.408,172.0,25.3,3.0
518.0,0.296,184.0,24.4,2.0
519.0,0.741,169.0,23.7,1.0
520.0,2.241,143.0,22.9,1.0
521.0,0.167,181.0,22.3,1.0
522.0,0.259,157.0,21.8,1.0
523.0,1.296,195.0,21.3,1.0
524.0,0.167,162.0,21.0,2.0
525.0,0.185,144.0,20.7,2.0
526.0,4.649,167.0,20.4,3.0
527.0,1.222,185.0,20.5,3.0
528.0,3.13,154.0,20.1,2.0
